Speed (km/h),Acceleration (m/sｲ),Braking intensity (%),Cornering speed (km/h),Driver Behavior rating
44.63,4.88,83.71,30.34,3.00
98.68,6.69,63.99,28.31,5.00
93.46,7.25,51.54,35.86,7.00
77.78,5.48,66.39,25.42,10.00
36.59,5.74,79.66,15.85,1.00
114.08,5.49,67.58,36.72,10.00
82.41,4.08,94.27,20.76,4.00
118.08,6.69,64.08,35.80,8.00
93.20,3.43,70.91,29.33,6.00
81.40,4.98,76.96,27.45,9.00
73.28,4.95,40.22,26.79,8.00
103.70,4.01,76.49,22.91,6.00
111.77,5.76,47.37,33.50,8.00
70.56,1.48,61.18,18.42,3.00
87.45,2.49,76.22,18.64,2.00
95.55,8.31,74.20,33.77,10.00
96.77,6.73,74.03,24.24,5.00
102.36,5.98,58.66,15.53,5.00
101.77,7.01,62.74,27.82,8.00
67.82,3.97,79.26,29.05,4.00
90.24,5.73,92.77,21.98,5.00
122.35,9.92,53.36,26.22,9.00
84.10,2.59,89.68,28.57,1.00
81.45,6.93,80.58,23.37,7.00
68.02,6.97,56.45,27.04,7.00
92.54,3.87,81.68,30.49,7.00
65.36,5.83,71.11,38.23,5.00
100.32,7.29,74.37,37.90,8.00
68.24,4.82,86.90,34.40,3.00
111.26,7.48,60.96,19.08,6.00
70.08,4.92,77.46,21.70,6.00
73.05,7.11,71.71,17.62,6.00
62.86,3.01,79.48,25.44,4.00
67.53,1.85,62.33,33.26,3.00
76.30,4.59,67.17,36.55,3.00
121.59,7.39,66.10,42.73,10.00
128.86,5.72,62.40,29.89,9.00
59.61,5.37,87.39,33.10,6.00
55.46,5.64,52.09,23.57,4.00
70.97,5.37,92.38,25.13,4.00
104.79,6.19,76.96,31.88,6.00
53.26,3.26,90.06,14.58,3.00
74.69,4.47,85.69,16.61,1.00
48.87,3.25,98.47,25.87,3.00
118.02,6.02,78.13,36.70,6.00
77.48,7.06,49.14,22.93,9.00
81.91,4.48,59.53,20.01,6.00
91.24,4.87,57.87,28.86,5.00
66.54,8.09,55.72,35.15,9.00
88.28,6.22,47.54,32.08,6.00
100.40,8.36,53.70,32.67,8.00
98.59,4.04,83.31,21.61,1.00
121.72,10.29,68.59,43.30,10.00
55.96,5.46,91.87,24.38,4.00
54.55,4.51,92.12,25.09,3.00
75.61,7.23,86.29,29.01,3.00
85.17,4.12,69.26,34.19,6.00
103.82,7.08,51.21,20.13,6.00
79.09,3.98,40.98,33.32,8.00
96.67,1.96,80.26,28.12,2.00
66.76,4.36,46.58,28.69,8.00
101.50,0.34,95.29,25.21,2.00
70.68,5.39,90.21,20.31,1.00
66.60,5.89,73.71,33.61,7.00
73.21,8.00,80.81,26.44,8.00
72.53,4.12,82.17,15.58,2.00
101.29,1.92,59.05,28.79,2.00
50.32,4.57,65.15,34.65,4.00
61.97,5.49,64.18,16.05,2.00
107.89,6.13,61.56,36.26,9.00
87.84,4.06,66.37,24.50,9.00
111.85,4.31,69.08,27.44,8.00
108.08,5.02,75.55,37.39,8.00
78.28,2.86,69.36,29.01,1.00
75.87,6.40,64.06,36.05,5.00
100.14,5.75,70.05,30.95,3.00
110.60,4.29,58.36,23.91,7.00
87.82,4.59,91.80,33.27,5.00
88.75,4.30,79.99,34.33,9.00
88.04,7.07,39.26,40.14,10.00
88.21,2.87,70.96,31.98,4.00
109.71,5.75,72.21,28.19,7.00
72.97,8.91,58.62,29.50,10.00
58.73,1.09,53.79,25.80,3.00
58.34,3.05,68.01,25.68,5.00
97.35,5.85,69.28,22.50,5.00
102.62,6.26,67.31,34.51,7.00
100.15,8.72,55.22,28.16,8.00
125.80,9.45,65.63,31.28,10.00
112.19,3.45,79.63,32.36,4.00
83.05,3.70,52.33,14.06,2.00
96.58,6.25,40.95,26.76,7.00
58.53,5.29,83.67,30.13,4.00
82.38,3.34,56.50,32.85,6.00
114.14,2.30,92.90,26.29,3.00
130.76,6.55,49.60,37.20,9.00
101.78,4.81,84.29,15.74,5.00
94.95,4.76,60.96,24.00,6.00
97.79,5.77,85.61,27.66,3.00
94.03,2.98,70.26,18.71,5.00
92.54,5.86,67.65,26.11,1.00
50.56,5.45,75.28,17.44,2.00
109.84,7.54,71.18,20.47,6.00
69.63,2.46,54.49,25.27,1.00
99.68,4.10,47.12,35.59,5.00
80.83,8.24,83.96,25.09,9.00
99.28,7.24,40.61,22.67,9.00
54.86,4.74,72.63,15.82,6.00
53.04,1.84,96.04,17.53,2.00
67.83,7.64,72.91,37.80,5.00
107.62,5.64,68.83,39.54,9.00
75.97,0.90,49.16,23.83,3.00
90.22,6.06,63.24,20.71,5.00
100.54,6.08,69.27,21.17,4.00
63.25,3.10,52.60,19.29,3.00
67.30,4.91,77.33,32.66,6.00
70.63,8.67,81.05,32.69,7.00
77.84,6.94,88.83,30.20,7.00
67.75,5.35,59.54,22.79,5.00
111.90,1.73,59.68,10.81,1.00
60.51,3.03,72.80,18.71,1.00
95.91,7.48,73.90,37.63,8.00
121.70,8.29,53.13,25.57,8.00
65.24,5.18,74.07,33.15,7.00
57.19,5.08,69.79,24.82,3.00
54.42,3.93,84.56,34.62,1.00
97.39,6.47,47.21,30.28,9.00
117.50,4.83,50.51,20.08,8.00
96.27,4.15,57.28,25.55,6.00
114.14,6.77,77.86,38.34,10.00
60.69,5.50,88.44,29.65,5.00
73.61,7.41,47.77,23.40,10.00
57.29,3.29,58.58,33.10,5.00
103.15,5.61,72.43,29.41,7.00
65.03,9.01,51.88,30.77,8.00
105.13,7.35,72.24,34.48,5.00
37.39,4.95,68.97,23.00,1.00
99.51,3.95,56.13,28.55,7.00
95.02,1.49,65.04,32.83,3.00
82.35,6.86,85.42,31.63,7.00
43.69,1.65,53.39,31.76,2.00
59.99,4.62,52.78,28.24,6.00
119.67,10.42,54.07,31.26,10.00
96.44,8.68,72.24,20.75,7.00
52.96,2.98,59.20,29.11,2.00
108.62,5.90,44.16,15.81,5.00
70.56,5.07,69.41,32.95,6.00
74.38,5.36,72.77,30.95,7.00
87.34,3.12,72.64,28.79,1.00
59.66,6.44,69.06,22.49,6.00
87.77,4.64,80.98,28.89,8.00
64.44,5.47,63.74,19.47,3.00
107.35,4.52,87.70,14.26,2.00
101.47,3.19,85.46,20.94,1.00
71.61,6.96,77.65,21.85,6.00
70.67,4.64,56.85,28.40,6.00
83.37,8.14,65.27,37.64,9.00
77.63,4.83,73.74,28.57,1.00
125.02,4.48,57.25,28.19,7.00
102.07,4.36,49.28,19.40,7.00
120.60,6.89,78.42,26.64,9.00
74.53,4.68,86.45,26.51,6.00
119.52,7.92,36.63,40.61,10.00
41.94,4.59,69.02,35.86,3.00
78.22,2.47,71.45,24.20,3.00
73.02,4.19,64.55,21.05,1.00
112.03,9.78,72.62,30.38,9.00
61.76,3.02,80.38,29.61,4.00
79.66,2.53,97.32,27.39,2.00
54.99,1.90,57.80,29.71,4.00
61.96,8.19,84.51,37.40,7.00
79.54,3.54,70.53,21.94,7.00
117.60,6.59,77.08,27.32,9.00
87.40,6.81,69.66,38.09,10.00
49.09,3.94,81.83,25.25,3.00
80.19,4.83,93.31,14.43,1.00
76.15,5.07,63.39,24.80,3.00
56.04,4.65,69.25,33.31,5.00
110.74,7.07,60.16,18.79,7.00
99.49,2.92,102.68,29.14,2.00
99.05,7.05,62.87,21.96,9.00
103.71,5.46,69.34,25.48,6.00
93.89,8.46,73.28,40.00,10.00
109.22,7.17,53.23,25.40,7.00
74.86,4.98,55.96,39.01,9.00
66.20,8.16,51.85,19.26,9.00
57.39,2.84,77.38,24.57,1.00
73.88,1.40,61.88,20.88,1.00
57.52,2.56,66.23,26.56,1.00
103.43,6.04,69.20,25.59,9.00
92.18,3.13,73.59,20.70,3.00
52.18,3.86,84.52,21.56,2.00
108.02,7.47,58.42,26.73,6.00
55.21,5.10,86.46,25.00,3.00
112.82,6.64,85.76,30.65,5.00
99.19,5.06,58.59,19.67,2.00
67.16,2.47,59.15,27.37,4.00
57.14,4.65,62.32,28.56,1.00
84.37,2.48,55.41,17.59,3.00
121.59,5.00,76.08,21.21,10.00
86.11,3.34,66.91,23.72,6.00
94.59,5.93,84.21,21.22,8.00
100.39,1.98,78.62,19.02,3.00
120.05,6.79,81.09,35.50,10.00
82.88,4.69,70.94,31.99,2.00
54.21,3.68,78.53,29.01,3.00
70.23,4.80,92.91,22.36,7.00
92.98,3.45,72.54,20.62,2.00
91.05,5.51,61.00,36.66,10.00
77.91,5.73,70.88,18.55,7.00
98.98,2.98,81.22,27.09,4.00
71.68,6.99,82.45,37.62,7.00
80.35,6.20,57.86,30.49,6.00
102.19,4.78,47.02,28.35,4.00
110.26,7.68,76.73,22.74,6.00
109.14,4.32,46.38,16.53,7.00
48.95,3.62,76.78,32.93,2.00
76.69,3.75,74.63,21.36,5.00
83.09,8.27,73.84,26.02,6.00
92.39,5.83,43.76,25.79,8.00
66.22,1.51,88.35,28.26,3.00
98.75,3.64,58.45,31.47,6.00
67.52,3.31,81.25,15.33,3.00
68.82,4.78,70.58,25.73,2.00
83.10,6.46,81.54,31.72,6.00
77.99,5.26,52.66,39.57,6.00
120.22,6.88,58.31,27.00,6.00
83.07,5.75,58.25,34.04,10.00
78.71,4.29,47.95,20.14,4.00
83.15,4.35,63.75,20.51,5.00
110.01,8.60,59.40,21.12,10.00
73.35,5.28,61.15,41.60,10.00
89.47,6.96,65.85,23.34,6.00
92.10,2.86,74.21,14.51,1.00
111.20,8.91,59.18,33.38,10.00
92.93,6.19,55.99,23.15,3.00
80.33,3.03,61.95,23.26,6.00
49.94,4.62,88.55,27.67,1.00
83.99,4.04,63.58,23.63,2.00
80.19,5.20,86.08,33.38,9.00
41.87,3.59,67.81,26.56,2.00
115.58,6.89,70.94,19.82,7.00
113.47,6.20,58.49,30.00,10.00
94.02,5.37,71.97,33.92,7.00
107.89,6.16,71.59,20.43,6.00
75.38,7.31,86.30,24.13,4.00
114.09,5.15,87.88,25.85,3.00
61.04,4.86,55.64,23.23,3.00
67.11,4.20,48.15,21.40,6.00
107.77,4.01,86.54,35.78,6.00
110.57,6.52,81.78,29.68,5.00
76.32,5.75,57.33,33.18,10.00
115.24,6.68,78.37,30.57,9.00
125.92,8.73,88.94,33.19,9.00
93.43,5.94,74.15,36.50,10.00
73.98,3.93,54.93,21.70,2.00
108.61,4.77,85.13,16.74,5.00
115.93,7.17,65.84,22.98,9.00
71.62,1.35,97.96,23.74,2.00
65.95,6.86,78.07,25.86,10.00
115.22,9.87,45.92,30.90,9.00
85.49,7.47,67.55,22.68,9.00
50.80,2.77,92.32,25.74,3.00
116.27,5.07,48.70,27.20,9.00
95.93,2.05,70.94,22.83,3.00
66.67,2.17,71.71,38.09,4.00
86.88,4.84,78.16,25.35,4.00
136.29,7.78,66.49,34.44,10.00
62.89,5.49,68.84,35.78,6.00
105.36,10.01,61.19,19.04,9.00
85.39,5.30,68.43,21.32,5.00
93.13,7.55,71.99,38.72,9.00
83.95,8.78,46.88,35.70,10.00
113.48,5.36,84.98,25.83,7.00
70.19,1.49,57.35,25.15,3.00
109.61,6.94,49.11,28.16,8.00
68.81,2.45,50.57,26.38,3.00
119.84,9.60,74.66,32.67,10.00
73.68,1.54,65.03,18.95,3.00
114.97,5.35,81.30,28.74,10.00
91.46,6.27,41.58,30.48,8.00
104.05,3.76,80.29,15.63,4.00
43.17,2.19,62.04,20.25,1.00
117.71,9.06,75.89,41.67,9.00
91.58,5.15,71.67,31.15,8.00
115.26,6.68,79.10,35.66,9.00
82.36,5.03,40.03,28.56,8.00
109.46,1.99,81.44,30.21,4.00
104.36,7.17,55.67,32.89,7.00
108.15,5.94,76.27,27.38,8.00
70.48,3.83,91.60,16.93,1.00
58.73,6.89,69.00,27.32,3.00
86.38,4.35,77.45,28.84,8.00
58.46,2.72,64.60,28.37,3.00
73.47,4.04,86.36,29.15,5.00
83.22,2.91,76.59,15.02,1.00
87.29,7.17,62.79,41.63,8.00
58.94,1.98,59.49,30.35,1.00
75.85,4.43,44.95,33.71,7.00
101.81,2.20,63.73,16.25,1.00
53.79,2.86,93.12,21.38,3.00
61.73,1.67,95.48,25.35,1.00
71.67,7.67,75.98,29.09,5.00
71.09,1.35,70.05,11.97,1.00
104.70,2.59,78.90,20.04,2.00
100.25,8.56,50.00,30.36,9.00
85.32,3.31,59.46,30.38,3.00
68.74,4.74,73.68,20.54,4.00
49.28,6.15,73.10,18.07,3.00
110.39,7.19,77.27,27.79,6.00
91.19,5.41,90.20,30.93,6.00
53.90,1.65,94.53,26.70,2.00
96.62,5.30,77.36,19.41,5.00
73.70,3.00,74.24,21.06,1.00
107.66,7.17,93.20,26.12,6.00
94.62,9.82,81.21,29.66,10.00
60.38,5.58,58.57,30.20,8.00
100.30,0.93,72.65,28.09,2.00
102.27,4.89,67.63,33.00,6.00
66.62,2.55,65.78,27.83,5.00
111.61,5.46,71.36,22.07,4.00
115.09,5.25,61.79,31.56,6.00
69.80,6.98,60.59,31.02,5.00
111.07,8.17,77.06,34.64,10.00
103.57,3.77,63.44,30.02,4.00
82.76,1.51,78.13,22.36,2.00
90.85,3.59,81.68,35.83,6.00
107.28,5.08,95.02,21.47,3.00
97.69,2.35,82.09,24.27,3.00
125.24,8.58,59.61,28.97,8.00
95.83,6.11,57.48,31.88,5.00
115.97,4.32,74.72,25.81,9.00
112.83,6.87,66.61,25.72,5.00
101.76,5.34,64.77,27.16,6.00
62.97,5.08,93.90,34.40,6.00
106.79,5.58,87.62,25.10,9.00
86.77,5.08,72.14,27.48,2.00
78.79,7.68,62.07,32.16,10.00
113.25,3.21,50.80,15.54,3.00
61.26,6.49,77.94,28.32,2.00
86.11,9.06,74.51,27.05,8.00
92.30,4.89,94.11,26.22,4.00
99.28,4.56,60.09,35.70,9.00
50.77,2.41,80.97,33.37,1.00
71.25,4.02,56.54,18.32,4.00
92.19,4.01,73.04,21.91,1.00
101.10,6.56,56.01,24.39,10.00
104.14,7.12,61.13,25.34,8.00
70.75,4.63,62.32,24.60,6.00
104.63,2.01,80.02,19.83,3.00
78.00,4.76,69.54,18.64,3.00
83.93,9.34,77.06,26.27,8.00
123.69,8.05,64.80,33.18,6.00
79.46,6.25,66.48,37.09,6.00
97.51,4.10,80.73,26.67,6.00
103.92,4.64,97.95,23.39,2.00
51.05,7.80,56.55,28.75,5.00
108.40,9.21,82.20,23.31,9.00
112.24,5.03,54.21,30.37,10.00
87.61,3.57,88.00,24.93,4.00
72.00,3.12,66.69,25.51,5.00
88.90,5.17,56.59,31.88,5.00
71.81,2.99,83.36,30.88,2.00
79.24,3.74,101.43,14.83,1.00
83.21,8.00,41.85,37.20,9.00
75.94,2.08,99.07,27.71,1.00
101.30,5.59,68.91,29.10,10.00
73.58,6.61,43.21,35.27,10.00
98.97,7.80,65.91,30.77,9.00
96.95,4.49,74.92,25.89,4.00
133.24,7.61,71.50,28.01,10.00
69.75,4.08,51.73,38.82,5.00
56.96,5.70,63.55,31.23,7.00
65.95,6.08,59.20,18.74,3.00
102.04,5.47,83.65,20.95,4.00
90.56,6.16,45.04,40.92,8.00
68.81,5.11,83.20,23.02,3.00
105.84,8.04,57.19,26.38,8.00
66.38,2.92,94.56,16.41,3.00
77.60,2.40,55.37,32.76,3.00
78.79,8.79,53.14,33.47,10.00
131.17,8.12,60.95,26.59,10.00
78.43,1.83,53.40,35.37,3.00
90.31,7.53,54.67,33.01,10.00
76.81,8.03,56.25,34.54,10.00
104.77,2.21,81.64,30.13,4.00
96.09,10.70,30.29,38.11,10.00
65.63,1.65,84.31,21.62,3.00
103.91,2.58,75.03,25.25,2.00
48.86,1.96,62.61,29.49,1.00
105.53,3.40,89.17,18.11,3.00
90.01,2.49,79.87,30.00,4.00
106.65,4.64,89.52,26.41,1.00
82.33,2.65,74.91,21.16,3.00
83.46,4.00,62.61,28.79,4.00
103.31,5.83,86.32,30.16,10.00
119.25,3.38,78.12,23.08,8.00
101.78,9.70,48.80,19.77,9.00
64.72,4.10,60.35,31.41,5.00
95.26,5.68,40.85,34.00,10.00
119.54,9.00,48.46,19.63,9.00
100.42,9.31,45.27,25.73,8.00
59.31,3.94,68.61,21.90,4.00
112.87,7.21,56.73,27.71,10.00
95.31,5.10,76.57,29.78,8.00
79.65,7.80,62.49,32.74,10.00
78.55,5.51,88.57,25.10,1.00
40.42,4.64,61.49,21.34,2.00
63.88,7.85,79.44,28.03,6.00
101.86,8.01,51.12,32.58,10.00
86.12,3.90,57.38,28.33,2.00
76.72,3.37,82.61,22.04,3.00
79.39,7.95,81.54,25.10,7.00
61.37,5.02,77.23,40.14,7.00
106.93,6.39,53.57,31.51,10.00
103.21,10.21,76.13,44.62,10.00
52.87,0.96,84.74,24.40,1.00
102.41,6.34,92.12,37.47,7.00
87.53,4.42,55.22,24.16,7.00
81.11,4.12,62.93,25.74,6.00
126.21,7.91,60.85,21.49,8.00
76.07,6.57,81.24,30.61,3.00
91.89,5.61,77.30,19.67,5.00
71.44,7.18,65.45,25.31,7.00
97.32,8.08,64.97,31.25,10.00
81.21,8.02,57.09,35.86,10.00
89.95,9.00,54.51,37.34,9.00
88.37,2.82,64.07,28.72,3.00
110.28,8.36,52.62,27.11,7.00
66.86,2.40,88.01,24.38,2.00
104.92,8.91,41.10,37.67,10.00
123.65,4.46,51.00,37.23,7.00
124.72,8.25,91.07,24.22,7.00
71.36,6.40,51.28,25.10,2.00
105.75,8.23,66.56,18.20,9.00
96.20,1.15,61.30,15.09,2.00
81.02,8.18,50.59,27.56,9.00
95.33,9.72,46.05,36.27,10.00
110.49,5.99,70.41,21.07,6.00
83.09,5.86,65.46,26.66,7.00
104.73,7.19,68.93,35.96,6.00
96.12,4.17,71.02,31.42,9.00
91.30,3.34,58.24,31.98,4.00
49.55,3.01,59.03,34.32,3.00
95.29,3.16,79.64,24.01,2.00
101.35,6.19,78.68,36.59,8.00
76.68,1.35,64.36,24.92,1.00
56.58,5.69,48.81,32.07,4.00
113.98,7.21,50.44,23.82,9.00
113.64,7.33,54.55,26.51,9.00
101.48,1.90,66.36,20.19,1.00
90.27,6.42,73.29,31.33,9.00
69.59,5.95,66.89,21.97,7.00
87.42,5.41,69.62,29.06,3.00
66.44,2.49,61.18,20.00,1.00
112.55,5.27,68.92,31.53,7.00
70.54,3.38,78.58,34.56,3.00
123.14,8.29,88.43,37.99,7.00
79.85,5.96,104.12,26.31,2.00
90.96,5.06,90.88,28.95,1.00
82.59,5.33,81.29,31.83,3.00
115.79,6.30,53.78,33.07,10.00
91.69,3.44,59.74,28.16,4.00
95.21,9.83,72.09,22.04,10.00
83.06,1.03,58.90,15.93,2.00
101.13,3.52,73.50,20.54,4.00
112.54,7.44,43.27,31.51,10.00
40.54,3.57,90.03,14.27,2.00
89.75,6.16,72.00,16.24,4.00
117.90,4.72,71.08,30.15,6.00
95.06,4.42,78.23,24.00,1.00
105.72,3.10,74.40,29.17,7.00
98.29,2.04,62.49,23.94,3.00
62.32,4.64,55.13,32.96,5.00
45.90,1.94,70.90,14.43,2.00
79.73,5.74,92.37,29.72,3.00
79.68,3.95,77.43,27.00,4.00
69.86,2.97,72.80,23.21,4.00
73.70,7.21,62.19,31.68,8.00
81.98,3.36,71.69,26.40,3.00
115.86,6.28,56.01,43.30,10.00
79.34,2.46,83.97,35.28,4.00
119.83,4.58,73.59,29.41,8.00
62.74,2.43,88.38,28.46,5.00
55.67,6.83,87.73,23.25,5.00
107.73,2.20,93.49,24.73,1.00
88.66,3.87,78.63,15.58,3.00
60.00,1.38,68.21,29.90,4.00
91.08,8.70,84.38,37.66,8.00
95.07,5.27,43.42,27.99,8.00
73.06,1.90,90.08,19.50,3.00
75.46,2.73,66.45,30.75,1.00
85.12,2.01,55.03,24.04,4.00
56.77,5.06,81.59,35.54,4.00
100.47,4.23,57.34,14.50,3.00
87.45,3.18,67.45,24.02,1.00
58.94,2.69,83.65,24.55,3.00
55.67,2.52,76.57,36.16,5.00
44.31,5.51,72.79,18.68,1.00
57.64,0.44,76.72,25.07,1.00
88.61,7.19,43.21,35.51,10.00
100.65,5.62,57.19,40.02,10.00
82.50,8.17,72.87,20.32,8.00
83.70,3.95,59.63,22.71,5.00
99.14,3.85,92.84,18.39,2.00
112.22,7.80,55.81,30.83,10.00
84.56,3.27,46.75,30.06,7.00
70.43,6.24,85.39,27.72,3.00
78.60,9.32,71.59,30.23,9.00
93.40,7.26,70.51,34.08,6.00
86.95,6.69,68.45,15.96,4.00
91.41,6.32,71.16,38.03,7.00
109.19,5.22,92.24,31.94,5.00
95.08,3.38,80.07,25.80,2.00
65.47,5.29,56.40,26.76,7.00
87.45,7.18,58.82,39.08,9.00
93.99,9.02,46.20,29.26,10.00
101.50,5.27,64.96,25.51,6.00
111.56,5.08,56.21,32.50,5.00
95.71,6.33,65.51,30.38,8.00
76.81,4.78,74.26,36.31,8.00
78.64,7.33,54.19,24.16,6.00
96.83,6.73,85.83,31.40,6.00
101.90,6.25,71.28,23.90,9.00
107.09,5.18,61.26,31.70,8.00
87.16,2.46,50.97,18.11,1.00
95.86,7.53,40.95,24.76,7.00
120.70,5.04,78.04,33.38,7.00
87.82,4.27,81.01,35.14,8.00
79.04,2.55,88.32,22.98,1.00
97.70,6.73,82.16,25.09,10.00
116.68,4.10,66.29,29.00,8.00
78.18,7.45,90.42,25.42,5.00
97.32,5.80,77.91,29.06,10.00
54.67,5.18,62.47,29.38,4.00
115.61,7.10,72.11,26.50,9.00
78.64,4.84,68.92,23.62,1.00
65.42,6.24,43.35,21.68,7.00
82.45,8.47,55.20,31.07,9.00
88.37,5.04,60.22,22.71,7.00
65.52,8.05,57.07,38.73,6.00
102.06,4.97,50.29,21.81,7.00
90.41,3.62,82.16,17.10,3.00
114.15,9.40,62.60,39.86,10.00
99.49,4.82,78.79,27.83,8.00
109.24,4.60,60.03,19.80,8.00
57.17,6.49,69.25,25.72,4.00
89.55,7.54,76.29,20.60,7.00
39.64,0.84,87.20,28.30,2.00
67.67,3.95,55.30,35.87,6.00
113.40,7.66,71.80,24.43,5.00
121.83,7.39,63.39,36.08,10.00
94.71,6.73,89.87,32.27,7.00
119.34,4.87,72.32,31.43,9.00
58.65,6.54,84.07,33.28,3.00
86.18,3.61,75.03,25.71,1.00
91.62,5.70,65.56,20.52,5.00
87.93,8.76,64.42,32.88,9.00
92.20,6.12,70.74,31.56,9.00
83.49,6.35,50.13,28.43,8.00
71.56,3.12,87.56,25.77,3.00
86.59,0.63,101.84,17.97,1.00
60.08,5.96,73.35,22.16,3.00
81.76,2.32,65.95,20.55,1.00
99.13,4.98,86.21,28.94,3.00
77.22,6.16,56.68,22.01,9.00
81.65,3.05,67.88,20.37,5.00
123.39,6.47,73.73,38.99,10.00
78.30,7.79,51.01,36.60,10.00
83.85,2.15,81.51,21.12,3.00
72.85,5.48,72.72,23.59,6.00
106.92,7.61,73.13,37.30,8.00
103.94,4.70,64.53,28.75,9.00
62.57,7.85,67.09,23.53,5.00
64.70,4.71,59.75,16.56,2.00
53.97,3.27,57.74,22.43,2.00
121.53,8.77,46.59,30.17,9.00
70.90,6.53,84.74,29.31,4.00
77.61,4.96,67.15,25.36,8.00
59.89,3.47,55.17,33.37,6.00
128.59,6.74,50.99,24.65,9.00
94.13,5.12,59.48,28.76,7.00
74.23,8.48,68.48,31.01,8.00
88.37,3.90,99.71,24.58,1.00
96.92,8.82,80.96,20.54,9.00
85.46,5.90,53.82,21.13,9.00
95.72,5.61,56.65,29.31,6.00
82.03,3.78,93.65,20.28,4.00
126.81,10.03,42.67,41.05,10.00
84.18,7.38,69.79,35.19,8.00
106.54,3.92,64.73,23.87,4.00
74.68,5.13,49.34,15.24,5.00
110.08,3.55,63.19,31.47,8.00
84.29,1.59,97.70,28.54,1.00
64.82,4.54,63.66,25.23,1.00
115.17,7.54,55.51,23.80,9.00
63.20,7.85,75.87,20.83,8.00
104.95,3.13,63.55,14.45,2.00
62.65,3.96,52.85,37.08,8.00
90.37,8.41,89.01,31.57,8.00
102.86,4.77,71.93,32.03,10.00
80.57,3.09,57.58,14.44,3.00
109.16,6.06,59.33,28.35,5.00
88.41,8.11,53.63,21.79,6.00
